"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Astanin D.","Astanin, Dmitry (57202574118)","57202574118","Functional zoning of ecological tourism areas by degree of regulation of building and planning activities","2019","E3S Web of Conferences","138","","01013","","","","1","10.1051/e3sconf/201913801013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077035839&doi=10.1051%2fe3sconf%2f201913801013&partnerID=40&md5=ab3d8e3ccdc129a9d01e402d3d60d453","The article considers the problem of natural landscape conservation under exposure to recreation impacts and emphasizes the differences between international and Russian experiences in establishing functional zones of specially protected natural reserves. Zoning according to the Federal Law of the Russian Federation «On Specially Protected Natural Territories» and the «Seville Strategy for Biosphere Reserves» are indicated. Recommendations for functional zoning regulations depending on their degree of openness for tourism according to the Russian and international requirements are proposed. © 2019 The Authors, published by EDP Sciences.","","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85077035839"
"Li X.; Zhou Y.; Kuang R.; Tian B.","Li, Xing (55718387000); Zhou, Yunxuan (15072314100); Kuang, Runyuan (26536230500); Tian, Bo (57204605267)","55718387000; 15072314100; 26536230500; 57204605267","Function zoning of accreting nature reserve of large estuary district: A case study in the Shanghai Chongming Dongtan National Nature Reserve","2009","Zhongshan Daxue Xuebao/Acta Scientiarum Natralium Universitatis Sunyatseni","48","2","","106","112","6","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65549145794&partnerID=40&md5=a20719bd1435838cdc5b141adcaf14b9","Due to inapplicability of traditionally static function zoning for the nature reserve in dynamic scenarios, a systematic function zoning framework was constructed for the dynamic scenarios of large estuary district. The multisource data, including remote sensing images, nautical charts and field surveys performed in recent years, were integrated into a habitat geospatial database. Then the framework was built by incorporating remote sensing and GIS techniques. On that basis, the function zoning of the Chongming Dongtan National Natural Reserve was studied by utilizing the eCognition object-oriented image segmentation method and spatial fuzzy assessment model, and obtained the following results:(1) Core zone, buffer zone 1, buffer zone 2, and transition zone accounted for 18.0%, 13.2%, 18.4%, and 50.4% of the total area of the nature reserve, respectively, which is better than previous function zoning both in spatial distribution and ecological sense; (2)The remote sensing images and its derived data make that the ecological environment of the reserve understandable on the macroscale and long-term scale, promote the time-effectiveness and reliability, but decrease the fieldwork intensity to a great extent; (3) The fusion of modern GIS techniques and traditional mathematical models has a good prospect in reserve planning. The results can be employed to provide scientific proofs for the function zoning of the nature reserve in dynamic scenarios.","Function zoning; Large estuary; Nature reserve; Silting","Article","Final","","Scopus","2-s2.0-65549145794"
"Kanafin K.M.; Korobova O.; Absametov M.; Khaustov A.; Murtazin Y.","Kanafin, K.M. (57203555449); Korobova, Olga (57205172216); Absametov, Malis (56955769200); Khaustov, Aleksandr (15837185200); Murtazin, Yermek (57196279319)","57203555449; 57205172216; 56955769200; 15837185200; 57196279319","Assessment of the hydrogeological conditions of naryn sand massif (Western kazakhstan) using remote sensing data","2017","International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM","17","33","","67","73","6","0","10.5593/sgem2017H/33/S12.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063102706&doi=10.5593%2fsgem2017H%2f33%2fS12.009&partnerID=40&md5=8405b9522504491cddb9c6a362ce9382","The relevance of the study is caused by the poverty of the region of researchon sweet water resources: there is a shortage of water resources suitable for domestic and drinking needs. The giant sand massif Naryn of 30 thousand km area betweenVolgaund Ural rivers is practically not studied. The massifis considered as per respective because of presence of fresh groundwater lenses of considerable scale, development of continuous large ridges and barchan-type massifs. Eolians and shaverelative good filtrating surfaces and and capacities, favorable conditions for infiltration of surface runoff, drainage and displacement of primarily saline waters. Underground waters here are desalinated for the full capacity of water-bearing sands. For the region of sand massifs placement was conducted the analyses of space images was carried out to delineate the boundaries of sandy massifs and to identify promising aquifer zones. Taking into account, that the remote sensing allows to receive an information indicating the presence of groundwater, space monitoring of factors related to relief and soil cover has been performed.The boundaries of the change in the parameters of the relief-landscape features of the study area are determined and the map of lineaments was constructed. Decoding of space images allowed to carry out the field reconnaissance work in the territorymore purposefully. Route hydrogeological studies have made it possible to assess the current state of surface and groundwaters, soils and vegetation of the research area. Hydrogeological zoning and assessment of natural reserves and groundwater resources, predicted exploitation resources of fresh and slightly saline groundwater with calculation of their modules were carried out. A map of hydrogeological zonation on the thickness and mineralization of groundwater in eoliansediments was prepared for assessing of groundwater resources and a final map of groundwater resources of the Naryn Sands was constructed. © SGEM2017.","Assessment of natural reserves; Hydrological conditions; Map of groundwater resources; Naryn Sand massifs; Remote sensing data","Conference paper","Final","","Scopus","2-s2.0-85063102706"
"Chibilеv A.A.","Chibilеv, Alexander A. (57842269200)","57842269200","The landscape and ecological framework as a territorial basis for stable development in Russia's agricultural regions; [Ландшафтно‐экологический каркас как территориальная основа устойчивого развития земледельческих регионов России]","2022","South of Russia: Ecology, Development","17","2","","115","121","6","1","10.18470/1992-1098-2022-2-115-121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135843884&doi=10.18470%2f1992-1098-2022-2-115-121&partnerID=40&md5=2e81ff6cb7d769367d78b02de3dafd90","Forming a landscape-ecological framework is an urgent task supporting the adoption of a strategy for the progress of specially protected natural territories in Russia by 2030. According to the author, the strategy does not fully reflect the specifics of the development of the network of territorial nature protection objects in the agricultural regions of the country. Aim Substantiate proposals for optimizing the network of protected areas. Materials and Methods. Methods of cartographic analysis of schemes of physical and geographical zoning, generalisation of the results of expedition research, assessment of the representativeness of the existing network of protected areas and a comparative assessment of the most valuable landscape and natural biotic plots were used in the paper. Results. As a result of this study a complex of new and promising sites has been identified for inclusion in the landscape and ecological framework, which can constitute the natural reserve fund of the regions as clusters. The study covers steppe and forest-steppe landscapes of southern European and Asian Russia. The problem has been considered in the context of subjects relating to physical and geographical zoning. Proposals for the modernisation and expansion of the network of objects included in the landscape and ecological framework were compiled based on expedition studies, combined with quantitative and qualitative indicators of natural diversity. Conclusions There is a need to modernise the existing network and to create new nature reserves based, among other things, on as-yetunrealised projects for the creation of reserves. © 2022 The authors.","expedition studies; landscape; Modernisation of a network of specially protected natural areas; representativeness; steppe and forest-steppe zones","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85135843884"
"Ferreira M.E.; Araújo I.S.; Avino F.S.; Costa J.V.S.; Oliveira-Da-Costa M.; Albuquerque R.W.; Balbuena E.M.","Ferreira, Manuel Eduardo (55433697500); Araújo, Ila Santos (57243134800); Avino, Felipe Spina (57213186407); Costa, João Vitor Silva (57213189776); Oliveira-Da-Costa, Marcelo (57211493360); Albuquerque, Rafael Walter (57213189629); Balbuena, Enrique Mieza (57242956500)","55433697500; 57243134800; 57213186407; 57213189776; 57211493360; 57213189629; 57242956500","Zoning the fire-risk in protected areas in brazil with drones: A study case for the brasília national park","2019","International Geoscience and Remote Sensing Symposium (IGARSS)","2019-July","","8900421","9097","9100","3","1","10.1109/IGARSS.2019.8900421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113197195&doi=10.1109%2fIGARSS.2019.8900421&partnerID=40&md5=8964f6a449bab8bb267c84072ad497af","Management of Protected Areas usually poses challenges due to extension of the area to be monitored and/or by external threats. Within the scope of the Ecodrones1, in order to collaborate with the ICMBio - environmental agency of the Brazilian government, this research aimed to test drones for zoning the areas with risk of burning in parks and natural reserves in Cerrado biome. In this research, 32 overflights were carried out in the Brasília National Park (2017) using a multi-rotor drone (with RGB sensor). Aerial photos were mosaicated and classified according to land cover type and vegetation volume. Thus, the percentage of green and dry vegetation was estimated, in order to identify areas with greater susceptibility to burning. The methodology presented a good cost-effective, indicating the areas with highest fire-risk, and suggesting its adoption by the institutions. © 2019 IEEE.","Burnings; Savanna; Uav; Vegetation index","Conference paper","Final","","Scopus","2-s2.0-85113197195"
"Wang S.; Liu J.; Wang R.; Ni Z.; Xu S.; Sun Y.","Wang, Shujun (57191712769); Liu, Jian (55141596200); Wang, Renqing (42962295600); Ni, Zirong (41561867500); Xu, Shipeng (41562284100); Sun, Yueyao (56174874500)","57191712769; 55141596200; 42962295600; 41561867500; 41562284100; 56174874500","Impact of socioeconomic development on ecosystem services and its conservation strategies: A case study of Shandong Province, China","2012","Environmental Monitoring and Assessment","184","5","","3213","3229","16","12","10.1007/s10661-011-2183-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862888534&doi=10.1007%2fs10661-011-2183-7&partnerID=40&md5=ff73ef7dfad1b8689315713261e60044","Ecosystems and their components provide a lot of benefits for the welfare of human beings. Coupled with increasing socioeconomic development, most of the rapidly developing and transitional countries and regions have been experiencing dramatic land use changes. This has resulted in a large amount of forestland, grassland, and wetland being occupied as residential and industrial land or reclaimed for arable land, which in turn results in a sharp deterioration of ecosystem services around the world. Shandong Province, an economically powerful province of China, was chosen as a case study in order to capture the impact of socioeconomic development on ecosystem services. By way of the study, land uses and their changes were categorized between 1980 and 2006, and the ecosystem services capital and changes of 111 counties of Shandong Province in different phases were evaluated, as well as the total ecosystem services capital, followed by the zoning of ecosystem services function region of Shandong Province. We found that the counties in mountainous areas and wetlands, where generally the prefectural-level cities are located with a rapid socioeco-nomic development, experienced a successive deterioration of ecosystem services especially during the 2000s. Finally, three conservation strategies for managing and improving ecosystem services were proposed and discussed with the aim of achieving coordinate and sustainable development of the socioeconomy, environment, and ecosystems not only in Shandong Province but also in other provinces of China, as well as in other developing and transitional countries and regions. © Springer Science+Business Media B.V. 2011.","Ecosystem services function regions; Ecosystem services value; Natural reserves; Payments for ecosystem services; Shandong province; Sustainable development","Article","Final","","Scopus","2-s2.0-84862888534"
"He S.; Min Q.; Li H.; Liu M.; Jiao W.; Bai Y.","He, Siyuan (57201639363); Min, Qingwen (7004057935); Li, Heyao (57213976264); Liu, Moucheng (35789996500); Jiao, Wenjun (35797100300); Bai, Yanying (57216448079)","57201639363; 7004057935; 57213976264; 35789996500; 35797100300; 57216448079","Value typology and evaluation of Important Agricultural Heritage Systems; [重要农业文化遗产价值体系构建及评估(I): 价值体系构建与评价方法研究]","2020","Chinese Journal of Eco-Agriculture","28","9","","1314","1329","15","3","10.13930/j.cnki.cjea.190881","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090684383&doi=10.13930%2fj.cnki.cjea.190881&partnerID=40&md5=350a945a55856103c1de2b2e95881f03","Important Agricultural Heritage Systems (IAHS) is regarded as a typical reserve for the sustainable utilization of natural resources. It is comprised of unique land-use systems and agricultural landscapes formed by long-term co-evolution and dynamic adaptation of rural communities and their environment. IAHS sites are rich in biodiversity and support of local socio-economic and cultural development. They also play a positive role in coordinating community livelihoods and ecological protection through their soil and water management strategies, knowledge systems, and cultural connotations. Therefore, it is of great significance to assess the value of IAHS for adaptive IAHS management per se, as well as optimizing the protected area system and its zoning-based management according to human-environment interactions. Our study first reviewed the value systems of related concepts, focusing on natural resource assets, ecosystem functions and services, and various types of natural and cultural heritage to generalize the value typology and assessment methods for heritage systems and their key elements. We then examined the uniqueness of IAHS based on our understanding of the general agricultural heritage systems (AHS) and the more specific Globally Important Agricultural Heritage Systems (GIAHS) to ensure that characteristics such as complexity, vitality, and strategy were fully reflected in the value system. IAHS is comprised of both material and non-material parts. Its' complexity indicates the assimilation of values from natural and cultural heritage, as well as cultural landscapes. Vitality implies the system's dynamics based on its historical and current value as an adaptive system. Strategy defines the positive externality of IAHS towards people beyond its local area, determining its contribution to regional and global sustainable development strategies. Afterwards, the value typology of IAHS was proposed. The value system was firstly divided into existence and potential values to reflect the impact of IAHS on the current and future generation. The existence value was further separated into carrier and service values. The carrier value is the intrinsic value based on the physical formation of agricultural land as an asset stock during its historical period. The service value is the measure of flow from the stock. It is composed of nine values, namely the product value, ecological value, sci-tech value, social value, aesthetic value, cultural value, historical value, spiritual value, and brand value, and is further divided to 25 value elements at the lowest level. We also proposed possible evaluation methods and statistical approaches targeting at potential indicators of the existence value to obtain the monetary value of certain IAHS to better implement this multi-layered value system in policy making and conservation management. Key methods were selected from practices that evaluated ecosystem services, farmland, and natural resources, including the direct marketing method, substitutable marketing method, and simulated market method. Non-material value elements, which usually were only valued quantitatively, were discussed to determine the difficulty and possibility of quantitative accounting. As a result, the value typology can help managers identify IAHS conservation focal points according to the value connotation. The existence value must be well preserved. The potential value should be further studied. The conservation of the carrier value is mainly dependent on local farmland protection. Some service values benefiting large areas are better protected via regional cooperation. As a result, this research revealed the values embedded in human-environment interactions in the IAHS and interpreted their importance in maintaining a harmony between human and environment; thus providing a theoretical basis for spatial integration and management optimization of protected areas, as well as coordinative decision-making for regional conservation and development. It also provided a whole set of value systems and evaluation methods for the monetary value of IAHS; synthesized from quantitative or qualitative methods used in ecosystem services, natural resources assets, natural and cultural heritages, and brands. © 2020, Science Press. All right reserved.","Globally Important Agricultural Heritage Systems (GIAHS); Important Agricultural Heritage Systems (IAHS); National park; Natural reserve; Value evaluation; Value system","Review","Final","","Scopus","2-s2.0-85090684383"
"Garms E.O.; Sukhova M.G.; Zhuravleva O.V.; Karanin A.V.; Minaev A.I.","Garms, Evgenia O. (57190224560); Sukhova, Maria G. (55656352600); Zhuravleva, Olga V. (57197395946); Karanin, Andrey V. (55949933800); Minaev, Alexander I. (55950002800)","57190224560; 55656352600; 57197395946; 55949933800; 55950002800","Distinctness and endemicity of the vegetative cover of altai transboundary mountain region and its conservation as a part of the strategy for Altai sustainable development","2017","Journal of Environmental Management and Tourism","8","3","","686","695","9","4","10.14505/jemt.v8.3(19).20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034777912&doi=10.14505%2fjemt.v8.3%2819%29.20&partnerID=40&md5=85d1ef7d4533f48429af30cd74262382","The Altai transboundary mountainous region is a significant part of the Altai-Sayan ecoregion, namely one of almost 240 regions of the world, in which more than 80% of the world's biodiversity is preserved. Therefore, the relevance of the work lies in its description, which can help in future to protect the biodiversity of the region. The purpose of the article is to study and describe the originality of the territory’s floral zoning. The works of Ogureyeva, Kamelin, Yegorina, materials from the Green Book of Siberia, various atlases and other information were used to describe the vegetation of the natural and recreational areas. The leading method, which allowed to thoroughly study the research issue, was the evaluation of the bioclimatic characteristics. Since the normal development of the territory’s vegetation depends on climatic factors. A detailed characteristics of the vegetation cover of Tigireksky, Bashchelaksky, Koksuisko-Korgonsky natural and recreational areas was carried out in the work. It has been established that the inventory and preservation of the natural ecosystems’ diversity helps to preserve a stable state of natural potential. Also, we conducted an analysis of national parks. As a result of the research, it was revealed that many vegetation species are entered in the Green Book of Siberia. © 2017, ASERS Publishing House. All rights reserved.","National park; Natural reserve; Sustainable development; Transboundary territory; Vegetation cover","Article","Final","","Scopus","2-s2.0-85034777912"
"Xu C.; Yang G.; Wan R.; Ou W.; Wang P.","Xu, Chen (57216426974); Yang, Guishan (7405755203); Wan, Rongrong (8869316200); Ou, Weixin (9632511100); Wang, Peng (57826854600)","57216426974; 7405755203; 8869316200; 9632511100; 57826854600","Toward ecological function zoning and comparison to the Ecological Redline Policy: a case study in the Poyang Lake Region, China","2021","Environmental Science and Pollution Research","28","30","","40178","40191","13","17","10.1007/s11356-020-12225-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099817308&doi=10.1007%2fs11356-020-12225-6&partnerID=40&md5=5bf0ff5f62a42b15ff1ad344a5044443","Faced with huge environmental problems of ecosystem degradation, “Ecological Redline Policy (ERP)” in China is a new key national-level policy to manage different land use functions in accordance with development and environmental limits. As the water–land complex ecosystem with the largest freshwater lake, wetland natural reserves and ecological importance in China, Poyang Lake Region (PLR) is selected to quantify and map multiple ecosystem services, investigate the ecological function zoning as part of research on ecological zoning control and major ecological source areas to illustrate and address the implementation of this strategy based on the importance and vulnerability analysis of ecosystem services. According to ecological function zoning results, extremely important, highly important, medium important and important zones respectively account for 26.1%, 28.1%, 17.4% and 28.4% of the total area. With an area of 5422.2 km2, the extremely important zone is 1010.6 km2 larger than the ERP. Moreover, 81.6% of the ERP is located in the extremely important zone. By discussing the implications and applications of ecological management, this study contributes to the ecological protection of Poyang Lake and provides a foundation for research on ecological function zoning at the regional scale. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH, DE part of Springer Nature.","Ecological function zoning; Ecological Redline Policy; Ecosystem services; Importance analysis; Vulnerability analysis","Article","Final","","Scopus","2-s2.0-85099817308"
"Kong D.; Luo W.; Liu Q.; Li Z.; Huan G.; Zhang J.; Yang X.","Kong, Dejun (56242769000); Luo, Weixiong (57203479935); Liu, Qiang (55712228800); Li, Zhuoqing (8650467000); Huan, Guoyue (57203004741); Zhang, Jianjun (57203008777); Yang, Xiaojun (55683837000)","56242769000; 57203479935; 55712228800; 8650467000; 57203004741; 57203008777; 55683837000","Habitat use, preference, and utilization distribution of two crane species (Genus: Grus) in Huize National Nature Reserve, Yunnan-Guizhou Plateau, China","2018","PeerJ","2018","7","e5105","","","","15","10.7717/peerj.5105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050237664&doi=10.7717%2fpeerj.5105&partnerID=40&md5=2b172bf88b719f443cd25f40a4a22805","Understanding the habitat use and spatial distribution of wildlife can help conservationists determine high-priority areas and enhance conservation efforts. We studied the wintering habitat use, preference, and utilization distribution of two crane species, that is, the black-necked crane (Grus nigricollis, Przevalski, 1876) and common crane (Grus grus, Linnaeus, 1758), in Huize National Natural Reserve, Yunnan-Guizhou Plateau, southwestern China. Line transects indicated that anthropogenic farmland habitat was highly utilized and was positively selected by both crane species (> 90% of flocks observed for both species). Black-necked cranes preferred marshland in spring (February and March) but avoided grassland during the entire wintering period, whereas common cranes avoided both marshland and grassland throughout the entire period. The two cranes species had communal nightly roosting sites and separate daily foraging sites. Black-necked cranes were distributed within two km (1.89 ± 0.08 km) of the roosting site, covering an area of 283.84 ha, with the core distribution area encompassing less than 100 ha. In contrast, common cranes were distributed far from the roosting site (4.38 ± 0.11 km), covering an area of 558.73 ha, with the core distribution area encompassing 224.81 ha. Thus, interspecies competition may have influenced the habitat preference and spatial distribution divergence of these two phylogenetically related species. This study should help guide habitat management as well as functional zoning development and adjustment in the future. Based on our results, we recommend restoration of additional wetlands, retention of large areas of farmland, and protection of areas that cranes use most frequently. © 2018 Kong et al.","Coexistence; Grus grus; Grus nigricollis; Habitat management; Habitat use; Spatial distribution","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85050237664"
"Kanafin K.M.; Rakhmetov I.K.","Kanafin, K.M. (57203555449); Rakhmetov, I.K. (57203552328)","57203555449; 57203552328","Estimate of forecast resources of underground water in naryn sandy area","2018","News of the National Academy of Sciences of the Republic of Kazakhstan, Series of Geology and Technical Sciences","3","430","","132","144","12","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052207277&partnerID=40&md5=845b9347cc7c41d0ddf9725d1daaa86f","To solve the problems related to water supply to rural population centers and cattle farms, irrigation of pastures within the territory, regional hydrogeology surveys were conducted in the territory of Naryn sand massif in Northern Pre-Caspian. Hydrogeological justification of the underground water use prospectivity is in estimating its forecast resources. With the purpose of studying the current state of surface and underground water within the territory under study, regional studies were conducted. Underground water of sandy Aeolian deposits within borders of Naryn sands is caught mainly by wells excavated and equipped manually for non-centralized drinking water supply of cattle farms and small population centers, and also for cattle watering points. Previously explored underground water fields in Aeolian deposits are not operated. Regional hydrogeological zoning with the purpose of estimating the resources of fresh and low-mineralized water is based on general geological and hydrogeological representations, results of regional route studies. It was carried out with account to the following characteristics of water-bearing formations: perspective water-bearing formation spread contour; underground water occurrence depth; water-bearing formation thickness; underground water mineralization. To estimate forecast resources of Naryn sands underground water, identified were basic sources of their formation: natural (volumetric) reserves, natural (renewable) resources. The estimate of forecast underground water resources was carried out using traditional and hydrodynamic methods. Methodology developed by scientists of the Institute of Hydrogeology and Geoecology named after U. M. Ahmedsafin was used as conventional estimate method. In the process of scientific research, regional map of modules of Naryn sands underground water resources was built. Data was processed and maps were built with the use of up-to-date geoinformational software systems Geomatica 2016 and ArcGIS 10.5. © National Academy of Sciences of the Republic of Kazakhstan, 2018.","Forecast useful resources; Hydrodynamic method; Hydrogeological parameters; Hydrogeological zoning; Interstitial underground water; Naryn sands; Natural reserves; Natural resources; Nothern pre-caspian","Article","Final","","Scopus","2-s2.0-85052207277"
"Shao M.; Fan J.; Ma J.; Wang L.","Shao, Minghao (57433698300); Fan, Jinglong (26530962300); Ma, Jinbiao (57221188481); Wang, Lei (57211488386)","57433698300; 26530962300; 57221188481; 57211488386","Identifying the natural reserve area of Cistanche salsa under the effects of multiple host plants and climate change conditions using a maximum entropy model in Xinjiang, China","2022","Frontiers in Plant Science","13","","934959","","","","2","10.3389/fpls.2022.934959","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137736471&doi=10.3389%2ffpls.2022.934959&partnerID=40&md5=86b4b95a2de1d4c353e7abe831c1c4ad","Cistanche salsa (C. A. Mey.) G. Beck, a holoparasitic desert medicine plant with multiple hosts, is regarded as a potential future desert economic plant. However, as a result of excessive exploitation and poaching, its wild resources have become scarce. Thus, before developing its desert economic value, this plant has to be protected, and the identification of its natural reserve is currently the top priority. However, in previous nature reserve prediction studies, the influence of host plants has been overlooked, particularly in holoparasitic plants with multiple hosts. In this study, we sought to identify the conservation areas of wild C. salsa by considering multiple host–plant interactions and climate change conditions using the MaxEnt model. Additionally, a Principal Component Analysis (PCA) was used to reduce the autocorrelation between environmental variables. The effects of the natural distribution of the host plants in terms of natural distribution from the perspective of niche similarities and extrapolation detection were considered by filtering the most influential hosts: Krascheninnikovia ceratoides (Linnaeus), Gueldenstaedt, and Nitraria sibirica Pall. Additionally, the change trends in these hosts based on climate change conditions combined with the change trends in C. salsa were used to identify a core protection area of 126483.5 km2. In this article, we corrected and tried to avoid some of the common mistakes found in species distribution models based on the findings of previous research and fully considered the effects of host plants for multiple-host holoparasitic plants to provide a new perspective on the prediction of holoparasitic plants and to provide scientific zoning for biodiversity conservation in desert ecosystems. This research will hopefully serve as a significant reference for decision-makers. Copyright © 2022 Shao, Fan, Ma and Wang.","Cistanche salsa (C. A. Mey.) G. Beck; climate changes; multiple host factors; nature reserve; species distribution model","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85137736471"
"Zhao H.; Jiang X.; Liu Y.","Zhao, Haixia (55715877800); Jiang, Xiaowei (55774527800); Liu, Yan (57203163131)","55715877800; 55774527800; 57203163131","Spatial management zoning based on the water eco-health: A case study of the areas around Chaohu Lake","2018","Shengtai Xuebao","38","3","","866","875","9","4","10.5846/stxb201610132467","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050718425&doi=10.5846%2fstxb201610132467&partnerID=40&md5=c7987835490bf94bb661818ac4e0ef7d","The water eco-health has become an important goal of regional environment management and a new trend of eco-environmental fields in China and abroad. In the areas around Chaohu Lake of China, the rapid industrialization and urbanization have led to ecological health problems, such as water quality deterioration, vegetation degradation and ecosystem degeneration. This paper aims to give some advices on achieving the healthy development of water ecosystem based on spatial development and regulation zoning in the areas around Chaohu Lake. After building the evaluation index system composed of water ecological sensitivity and water ecological pressure, this paper discusses the methods of spatial zoning which is related to both regional development and ecological environment protection, based on 500 m×500 m grid units and ArcGIS software, as well as the comprehensive evaluation of single factor and multifactor analysis. The areas around Chaohu Lake, serving as a case study, are divided into four types by the method of two-dimensional quadrant analysis, namely, high-sensitivity and high-pressure area, high-sensitivity and low-pressure area, low-sensitivity and high-pressure area, and low-sensitivity and low-pressure area, representing 2.66%, 20.46%, 13.01 and 63.87% of the total area respectively. Different measures are put forward according to different types of areas. Firstly, the areas around Chaohu Lake generally should adopt a policy on low density development prioritizing the ecological and cultural protection. As an important drinking water source and ecological barrier areas in Chaohu and Hefei city, the areas around Chaohu Lake is expected to give a strict protection of the natural reserve, existing mountain, water and wetland landscape, forest parks, scenic areas, lake shelterbelts and so on. Secondly, learning from previous lessons on the development models of lakeside districts in other regions and countries, the development model in the areas around Chaohu Lake should adopt appropriate measures suiting local conditions: the belts along the main rivers into Chaohu Lake have the higher sensitivity to water environment, are not suitable for large-scale development and construction, and need to strengthen the ecological restoration and environmental protection. Thirdly, the northern Binhu new district of Hefei city, Chaohu city and their towns have higher pressures on water ecosystem from high-density development activities, is in urgent needs of the model transformation and structure upgrade in industrial and urban development, and implements strict access standards to environmental and pollution emissions. Lastly, although some regions with lower ecological sensitivity and pressure can adopt different measures and development models relying on local resources and their own advantages, a strict control of new emissions of pollutants and maintenance of healthy development of ecological water are of prime importance. © 2018 Science Press. All rights reserved.","Spatial management zoning; The areas around Chaohu Lake; Water eco-health; Water ecological pressure; Water ecological sensitiveness","Article","Final","","Scopus","2-s2.0-85050718425"
"Cao M.; Zhao J.; Zhang S.","Cao, M. (56673472200); Zhao, J. (57205341836); Zhang, S. (57204569583)","56673472200; 57205341836; 57204569583","Research on the suitability evaluation of construction land in southwest mountainous areas of China: A case study of baoxing county, Sichuan Province, China","2018","Applied Ecology and Environmental Research","16","5","","6567","6587","20","1","10.15666/aeer/1605_65676587","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056176701&doi=10.15666%2faeer%2f1605_65676587&partnerID=40&md5=0236b0a9c52f29d6cefea839cdbde8f8","Currently, the threats of mountain disasters are continuously increasing due to the highly vulnerable feedback mechanism of mountain ecosystems, and the construction land use type is most strongly affected by human activities. This study uses multiple index coupling models to evaluate the suitability of construction land. The evaluation uses mountain disaster risk, topographic and geomorphic environments, hydrogeological environments, human activity factors and socio-economic factors as the suitability standards. We use geographic information system (GIS) technology to improve the evaluation model and establish a suitability map of construction land for Baoxing County, Sichuan province, China. This study indicates that the mountain disaster risk is the core factor of the suitability zoning of construction land in Baoxing County, wherein, the development suitability of construction land in the central sectors is relatively high while the mountain disaster risk is relatively high due to the high socioeconomic value of the disaster-bearing areas in the central sectors. The development suitability of construction land near the fracture zones and the natural reserves is relatively low. © 2018, ALÖKI Kft., Budapest, Hungary.","Construction land; Mountain disasters; Risk assessment; Suitability assessment; Vulnerability","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85056176701"
